lat,lon,time,bssid,quality,rssi,essid
-31.978199,115.81722,20-09-15-17-48-06,B8:62:1F:E8:A9:3F,30/70,-80,Unifi
-31.978199,115.81722,20-09-15-17-48-06,00:2C:C8:B0:3E:CF,32/70,-78,Unifi
-31.978199,115.81722,20-09-15-17-48-06,00:2C:C8:12:51:8F,32/70,-78,Unifi
-31.978199,115.81722,20-09-15-17-48-06,A0:CF:5B:3C:13:6F,41/70,-69,Unifi
-31.978199,115.81722,20-09-15-17-48-06,A0:CF:5B:3C:13:60,45/70,-65,Unifi
-31.978199,115.81722,20-09-15-17-48-06,A0:CF:5B:3F:68:90,32/70,-78,Unifi
-31.978199,115.81722,20-09-15-17-48-06,A0:CF:5B:3F:68:9F,24/70,-86,Unifi
-31.978199,115.81722,20-09-15-17-48-06,A0:CF:5B:3D:5E:F0,41/70,-69,Unifi
-31.978199,115.81722,20-09-15-17-48-06,7C:21:0E:3E:68:20,31/70,-79,Unifi
-31.978199,115.81722,20-09-15-17-48-06,A0:E0:AF:99:D2:EF,26/70,-84,Unifi
-31.978154,115.81722,20-09-15-17-48-34,7C:21:0E:3E:6A:AF,37/70,-73,Unifi
-31.978154,115.81722,20-09-15-17-48-34,7C:21:0E:3E:68:2F,36/70,-74,Unifi
-31.978154,115.81722,20-09-15-17-48-34,00:2C:C8:12:51:8F,37/70,-73,Unifi
-31.978154,115.81722,20-09-15-17-48-34,A0:CF:5B:3C:13:6F,36/70,-74,Unifi
-31.978154,115.81722,20-09-15-17-48-34,A0:CF:5B:3C:13:60,41/70,-69,Unifi
-31.978154,115.81722,20-09-15-17-48-34,E8:65:49:33:05:D0,26/70,-84,Unifi
-31.978154,115.81722,20-09-15-17-48-34,28:6F:7F:90:B2:6F,26/70,-84,Unifi
-31.978154,115.81722,20-09-15-17-48-34,E8:65:49:32:E3:CF,29/70,-81,Unifi
-31.978154,115.81722,20-09-15-17-48-34,E8:65:49:32:E3:C0,34/70,-76,Unifi
-31.978154,115.81722,20-09-15-17-48-34,E8:65:49:32:E4:A0,32/70,-78,Unifi
-31.978154,115.81722,20-09-15-17-48-34,E8:65:49:3E:C9:D0,32/70,-78,Unifi
-31.978154,115.81722,20-09-15-17-48-34,E8:65:49:33:05:DF,22/70,-88,Unifi
-31.978154,115.81722,20-09-15-17-48-34,A0:CF:5B:3F:68:9F,27/70,-83,Unifi
-31.978109,115.81722,20-09-15-17-48-44,7C:21:0E:3E:6A:AF,34/70,-76,Unifi
-31.978109,115.81722,20-09-15-17-48-44,7C:21:0E:3E:68:2F,30/70,-80,Unifi
-31.978109,115.81722,20-09-15-17-48-44,00:2C:C8:12:51:8F,36/70,-74,Unifi
-31.978109,115.81722,20-09-15-17-48-44,A0:CF:5B:3C:13:6F,33/70,-77,Unifi
-31.978109,115.81722,20-09-15-17-48-44,A0:CF:5B:3C:13:60,42/70,-68,Unifi
-31.978109,115.81722,20-09-15-17-48-44,E8:65:49:33:05:D0,26/70,-84,Unifi
-31.978109,115.81722,20-09-15-17-48-44,28:6F:7F:90:B2:6F,26/70,-84,Unifi
-31.978109,115.81722,20-09-15-17-48-44,E8:65:49:32:E3:CF,29/70,-81,Unifi
-31.978109,115.81722,20-09-15-17-48-44,E8:65:49:32:E3:C0,34/70,-76,Unifi
-31.978109,115.81722,20-09-15-17-48-44,E8:65:49:32:E4:A0,32/70,-78,Unifi
-31.978109,115.81722,20-09-15-17-48-44,E8:65:49:3E:C9:D0,32/70,-78,Unifi
-31.978109,115.81722,20-09-15-17-48-44,E8:65:49:33:05:DF,28/70,-82,Unifi
-31.978109,115.81722,20-09-15-17-48-44,A0:CF:5B:3F:68:9F,27/70,-83,Unifi
-31.978109,115.81722,20-09-15-17-48-44,A0:CF:5B:3D:5E:F0,31/70,-79,Unifi
-31.978109,115.81722,20-09-15-17-48-44,00:2C:C8:12:51:80,30/70,-80,Unifi
-31.978064,115.81722,20-09-15-17-48-55,7C:21:0E:3E:6A:AF,34/70,-76,Unifi
-31.978064,115.81722,20-09-15-17-48-55,7C:21:0E:3E:68:2F,29/70,-81,Unifi
-31.978064,115.81722,20-09-15-17-48-55,00:2C:C8:12:51:8F,37/70,-73,Unifi
-31.978064,115.81722,20-09-15-17-48-55,A0:CF:5B:3C:13:6F,32/70,-78,Unifi
-31.978064,115.81722,20-09-15-17-48-55,A0:CF:5B:3C:13:60,35/70,-75,Unifi
-31.978064,115.81722,20-09-15-17-48-55,E8:65:49:33:05:D0,26/70,-84,Unifi
-31.978064,115.81722,20-09-15-17-48-55,28:6F:7F:90:B2:6F,26/70,-84,Unifi
-31.978064,115.81722,20-09-15-17-48-55,E8:65:49:32:E3:CF,26/70,-84,Unifi
-31.978064,115.81722,20-09-15-17-48-55,E8:65:49:32:E3:C0,34/70,-76,Unifi
-31.978064,115.81722,20-09-15-17-48-55,E8:65:49:32:E4:A0,32/70,-78,Unifi
-31.978064,115.81722,20-09-15-17-48-55,E8:65:49:3E:C9:D0,31/70,-79,Unifi
-31.978064,115.81722,20-09-15-17-48-55,E8:65:49:33:05:DF,26/70,-84,Unifi
-31.978064,115.81722,20-09-15-17-48-55,A0:CF:5B:3F:68:9F,36/70,-74,Unifi
