time,BSSID,Quality,RSSI,ESSID
20-09-09-14-56-57,A0:CF:5B:3D:83:7F,31/70,-79,Unifi
20-09-09-14-56-57,10:BD:18:F0:C8:AF,25/70,-85,Unifi
20-09-09-14-56-57,A0:CF:5B:3D:7F:D0,35/70,-75,Unifi
20-09-09-14-56-57,A0:CF:5B:3D:5F:90,32/70,-78,Unifi
20-09-09-14-56-57,A0:CF:5B:3F:69:30,32/70,-78,Unifi
20-09-09-14-56-57,10:BD:18:F0:CA:B0,36/70,-74,Unifi
20-09-09-14-56-57,10:BD:18:F0:CA:BF,28/70,-82,Unifi
20-09-09-14-57-09,A0:CF:5B:3D:83:7F,22/70,-88,Unifi
20-09-09-14-57-09,10:BD:18:F0:C8:AF,25/70,-85,Unifi
20-09-09-14-57-09,A0:CF:5B:3D:7F:D0,35/70,-75,Unifi
20-09-09-14-57-09,A0:CF:5B:3D:5F:90,32/70,-78,Unifi
20-09-09-14-57-09,A0:CF:5B:3F:69:30,32/70,-78,Unifi
20-09-09-14-57-09,10:BD:18:F0:CA:B0,36/70,-74,Unifi
20-09-09-14-57-09,10:BD:18:F0:CA:BF,28/70,-82,Unifi
20-09-09-14-57-09,A0:CF:5B:3E:17:50,30/70,-80,Unifi
20-09-09-14-57-09,10:BD:18:C7:29:E0,27/70,-83,Unifi
20-09-09-14-57-09,10:BD:18:C7:29:EF,34/70,-76,Unifi
20-09-09-14-57-09,5C:50:15:E7:EA:3F,26/70,-84,Unifi
20-09-09-14-57-09,A0:CF:5B:3D:7F:DF,33/70,-77,Unifi
20-09-09-14-57-21,A0:CF:5B:3D:83:7F,26/70,-84,Unifi
20-09-09-14-57-21,10:BD:18:F0:C8:AF,25/70,-85,Unifi
20-09-09-14-57-21,A0:CF:5B:3D:7F:D0,35/70,-75,Unifi
20-09-09-14-57-21,A0:CF:5B:3D:5F:90,32/70,-78,Unifi
20-09-09-14-57-21,A0:CF:5B:3F:69:30,32/70,-78,Unifi
20-09-09-14-57-21,10:BD:18:F0:CA:B0,36/70,-74,Unifi
20-09-09-14-57-21,10:BD:18:F0:CA:BF,28/70,-82,Unifi
20-09-09-14-57-21,A0:CF:5B:3E:17:50,30/70,-80,Unifi
20-09-09-14-57-21,10:BD:18:C7:29:E0,27/70,-83,Unifi
